pm25,Fips,Region,Longitude,lattitude
9.771185226,1003,east,-87.74826,30.592781
9.993817253,1027,east,-85.842858,33.26581
10.6886181,1033,east,-87.72596,34.73148
11.33742369,1049,east,-85.798919,34.459133
12.11976447,1055,east,-86.032125,34.018597
10.82780487,1069,east,-85.350387,31.189731
11.58392801,1073,east,-86.82805,33.527872
11.26199587,1089,east,-86.588226,34.73079
9.4144227,1097,east,-88.139667,30.722256
11.39149371,1103,east,-86.91892,34.507018
12.38479495,1113,east,-85.1011,32.376002
10.64950031,1117,east,-86.698665,33.26912
11.33382136,1121,east,-86.178278,33.368498
12.30243612,1125,east,-87.511691,33.2356
11.02450828,1127,east,-87.285406,33.819888
6.058860191,2020,west,-149.762097,61.1919
11.10146674,2090,west,-147.568384,64.81859
7.308112573,2110,west,-134.511579,58.351422
7.147626263,2170,west,-149.481089,61.762742
6.929844045,4003,west,-109.904319,31.750272
6.132350718,4005,west,-111.511062,35.77144
8.228339173,4013,west,-112.087906,33.494514
5.328475002,4019,west,-111.088624,32.17841
10.50286196,4021,west,-111.498113,32.965668
11.32649921,4023,west,-110.905734,31.4819
5.165413239,4025,west,-112.414707,34.650332
10.83551505,5001,east,-91.429413,34.359997
10.43623483,5003,east,-91.785346,33.18542
11.11474332,5035,east,-90.2728,35.197701
10.82315691,5045,east,-92.379944,35.119477
10.74552281,5051,east,-93.075894,34.545307
10.45035064,5067,east,-91.227582,35.613258
10.72395889,5107,east,-90.761973,34.468372
10.44173669,5113,east,-94.253631,34.48549
11.09764516,5115,east,-93.084446,35.330478
11.84008585,5119,east,-92.294471,34.766541
11.10500303,5131,east,-94.351769,35.293916
10.88702381,5139,east,-92.612793,33.207179
10.69652447,5143,east,-94.198684,36.051379
10.64145299,5145,east,-91.730562,35.250106
9.465901886,6001,west,-122.096151,37.716662
9.842297178,6007,west,-121.64631,39.648354
6.768742788,6009,west,-120.557245,38.167573
6.94475891,6011,west,-122.152389,39.187495
8.545172912,6013,west,-122.060886,37.942423
16.19452394,6019,west,-119.90347,36.638374
7.19696624,6023,west,-123.988265,40.747403
9.41794678,6025,west,-115.487593,32.963098
6.431330652,6027,west,-117.693329,36.709037
15.80377972,6029,west,-118.683344,35.296023
18.4407314,6031,west,-119.811272,36.155141
3.494350966,6033,west,-122.751791,39.023264
16.66180113,6037,west,-118.234216,34.08851
8.151318057,6045,west,-123.430217,39.363102
15.01573267,6047,west,-120.674118,37.245783
6.455654562,6053,west,-121.528953,36.450732
5.280998697,6057,west,-120.814268,39.270775
14.50627234,6059,west,-117.861663,33.731518
7.969183211,6061,west,-120.947618,38.971576
9.678393121,6063,west,-120.851195,40.020149
17.42904866,6065,west,-116.803605,33.783307
9.679342068,6067,west,-121.389266,38.561106
5.995774217,6069,west,-121.288843,36.745753
9.843627119,6073,west,-117.062993,32.904616
10.74108692,6075,west,-122.437392,37.759881
11.56002188,6077,west,-121.281307,37.945959
7.308466369,6079,west,-120.58746,35.373909
8.999635963,6081,west,-122.331932,37.531037
8.415964203,6083,west,-120.071425,34.649384
9.841446473,6085,west,-121.912818,37.306509
6.196791738,6087,west,-121.973761,37.002349
5.560546398,6089,west,-122.121202,40.688705
5.702414046,6093,west,-122.502816,41.614943
10.09945985,6095,west,-122.051826,38.235934
6.925403186,6097,west,-122.768624,38.440089
16.25190383,6099,west,-120.9588,37.613805
7.309656891,6101,west,-121.658159,39.076193
16.18358308,6107,west,-119.166093,36.234647
9.617136147,6111,west,-119.045326,34.277048
7.705003249,6113,west,-121.775709,38.634155
8.469518934,8001,west,-104.869954,39.866716
6.654663682,8005,west,-104.841455,39.641904
6.771764689,8013,west,-105.195154,40.058094
7.733876986,8031,west,-104.965486,39.726287
5.732004616,8035,west,-104.888716,39.461171
4.186090212,8039,west,-104.292156,39.293642
5.971899542,8041,west,-104.748828,38.865444
6.614878298,8069,west,-105.213007,40.534099
9.328776024,8077,west,-108.509096,39.095228
6.275939908,8083,west,-108.575842,37.353687
7.680744881,8123,west,-104.728213,40.346681
9.821778294,9001,east,-73.35482,41.212896
8.894818835,9003,east,-72.715449,41.769967
7.029870736,9005,east,-73.212688,41.754255
10.00160919,9009,east,-72.94032,41.390764
8.821874853,9011,east,-72.092949,41.446109
10.41295427,10001,east,-75.560273,39.092714
11.55175552,10003,east,-75.611707,39.695612
10.83771801,10005,east,-75.342268,38.651424
11.02382256,11001,east,-77.013222,38.913611
7.503460952,12001,east,-82.379953,29.676436
6.877200817,12009,east,-80.685189,28.220079
6.977536221,12011,east,-80.206098,26.134788
7.375229016,12017,east,-82.469163,28.894637
8.378377639,12031,east,-81.638873,30.320873
8.96184161,12033,east,-87.277355,30.502045
8.341545254,12057,east,-82.412079,27.966349
6.744966395,12071,east,-81.846262,26.602541
9.79596697,12073,east,-84.260888,30.462933
5,12086,east,-80.302264,25.756427
7.285535067,12095,east,-81.404159,28.547129
6.348540263,12099,east,-80.176395,26.637745
7.738196365,12103,east,-82.727766,27.889647
7.679519038,12105,east,-81.758303,27.992436
7.584909109,12111,east,-80.360875,27.348246
6.800815101,12115,east,-82.398881,27.16493
7.500354813,12117,east,-81.310831,28.709909
7.213773455,12127,east,-81.138947,29.049037
11.95920849,13021,east,-83.665205,32.829689
10.82447005,13051,east,-81.107165,32.047559
11.29227851,13059,east,-83.380111,33.954747
12.91390279,13063,east,-84.365597,33.566178
12.01841591,13067,east,-84.559283,33.935535
12.1454137,13089,east,-84.25768,33.790944
11.74643922,13095,east,-84.163206,31.572874
11.81782092,13121,east,-84.419327,33.779605
9.793812489,13127,east,-81.496294,31.187633
12.14527801,13135,east,-84.058446,33.967056
11.18833449,13139,east,-83.842959,34.296799
11.42232527,13153,east,-83.663234,32.558055
9.709880465,13185,east,-83.277179,30.848527
12.20066019,13215,east,-84.942179,32.490061
10.94905928,13223,east,-84.831116,33.902776
12.39287465,13245,east,-82.028396,33.429488
10.67270693,13295,east,-85.291825,34.818692
11.35846359,13303,east,-82.782607,32.949364
12.12138071,13319,east,-83.226599,32.83589
6.824418754,15001,west,-155.393159,19.683885
5.78351928,15003,west,-158.035861,21.426126
5.693944865,15009,west,-156.615839,20.901025
10.32940451,16001,west,-116.280069,43.5603
4.917140438,16005,west,-112.346267,42.777785
10.79244824,16009,west,-116.637643,47.240039
8.846640653,16027,west,-116.673633,43.61814
10.37632699,16041,west,-111.855585,42.153211
12.43789802,16059,west,-113.778243,44.948818
13.34691029,16079,west,-116.040486,47.417879
9.353739767,17001,east,-91.268051,39.965452
11.05900512,17019,east,-88.216752,40.136824
11.87800768,17031,east,-87.767817,41.837649
10.90130885,17043,east,-88.063587,41.856029
11.26983785,17065,east,-88.536242,38.096779
10.336829,17083,east,-90.342138,39.083608
10.5814568,17089,east,-88.338441,41.918229
9.256495063,17097,east,-87.983801,42.313322
10.27521879,17099,east,-88.904285,41.332155
10.00386206,17111,east,-88.353772,42.296401
10.46958751,17113,east,-88.883582,40.495251
11.63192644,17115,east,-88.953227,39.853136
12.70212283,17119,east,-90.018837,38.812515
11.11607,17143,east,-89.665063,40.752492
10.10473428,17157,east,-89.796877,38.079211
9.655263158,17161,east,-90.507532,41.491433
12.33106048,17163,east,-90.002067,38.532682
11.03906484,17167,east,-89.646499,39.763854
10.50517927,17197,east,-88.02984,41.527431
10.03472508,17201,east,-89.08163,42.311119
13.09311875,18003,east,-85.100068,41.090284
13.14465921,18019,east,-85.727465,38.386482
11.85530166,18035,east,-85.396077,40.211893
13.02392256,18037,east,-86.900551,38.350091
12.04617561,18039,east,-85.899404,41.626089
12.36714058,18043,east,-85.863288,38.316931
11.63002853,18051,east,-87.558364,38.3177
11.44325219,18065,east,-85.405985,39.923532
11.69245241,18067,east,-86.126407,40.475438
11.81178128,18083,east,-87.418937,38.697416
12.75328695,18089,east,-87.395253,41.529603
10.64694595,18091,east,-86.779261,41.599217
12.08951112,18095,east,-85.719201,40.14594
13.88321687,18097,east,-86.14181,39.792792
12.19735418,18127,east,-87.086655,41.52351
13.43525433,18141,east,-86.241933,41.664783
12.22404004,18147,east,-87.013205,38.024372
12.19505472,18157,east,-86.88088,40.409485
12.82887754,18163,east,-87.556964,37.989892
12.26091571,18167,east,-87.391268,39.456887
10.47369628,19013,east,-92.344731,42.487586
11.69904527,19045,east,-90.427404,41.871169
10.91726298,19103,east,-91.568871,41.674915
11.12366392,19111,east,-91.416607,40.576831
10.40735537,19113,east,-91.630559,42.029994
9.288892241,19137,east,-95.159253,41.013101
12.67921075,19139,east,-91.084801,41.472456
8.828504043,19147,east,-94.688715,43.090301
9.402015108,19153,east,-93.630942,41.627938
10.83134555,19155,east,-95.680399,41.308529
11.96076043,19163,east,-90.578862,41.572127
9.281104999,19177,east,-91.948808,40.740217
8.938961885,20091,east,-94.753767,38.932175
9.337790246,20107,east,-94.805322,38.223827
9.057115307,20173,east,-97.36347,37.681327
9.322161528,20177,east,-95.710259,39.03915
8.681833318,20191,east,-97.432563,37.26461
9.741181965,20209,east,-94.69276,39.103711
11.28182636,21013,east,-83.702245,36.691388
11.40553687,21019,east,-82.664583,38.425361
12.66532478,21029,east,-85.672052,38.005184
11.80118759,21037,east,-84.433303,39.036524
9.685132348,21043,east,-83.049318,38.307846
11.32246537,21047,east,-87.481989,36.854445
12.05175277,21059,east,-87.105097,37.750648
12.39579365,21067,east,-84.494642,38.029632
11.10371382,21073,east,-84.868393,38.203653
11.7650293,21093,east,-85.914926,37.738924
11.85919508,21101,east,-87.568076,37.802623
13.05881355,21111,east,-85.704021,38.209237
11.9036446,21117,east,-84.539347,39.026743
11.67003023,21145,east,-88.651111,37.059705
10.34343302,21151,east,-84.27224,37.699681
